141.95.157.33 - - [25/Sep/2023:03:06:28 +0900] "CONNECT ipinfo.io:443 HTTP/1.1" 400 878
0:0:0:0:0:0:0:1 - - [25/Sep/2023:14:50:09 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [25/Sep/2023:14:50:09 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1121
0:0:0:0:0:0:0:1 - - [25/Sep/2023:14:50:09 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [25/Sep/2023:14:50:09 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1121
0:0:0:0:0:0:0:1 - - [25/Sep/2023:14:50:09 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [25/Sep/2023:14:50:09 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1121
0:0:0:0:0:0:0:1 - - [25/Sep/2023:14:50:10 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [25/Sep/2023:14:50:10 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1121
0:0:0:0:0:0:0:1 - - [25/Sep/2023:14:50:10 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [25/Sep/2023:14:50:10 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1121
0:0:0:0:0:0:0:1 - - [25/Sep/2023:14:50:10 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [25/Sep/2023:14:50:11 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1121
0:0:0:0:0:0:0:1 - - [25/Sep/2023:14:50:11 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [25/Sep/2023:14:50:11 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1121
0:0:0:0:0:0:0:1 - - [25/Sep/2023:14:50:11 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [25/Sep/2023:14:50:11 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1121
0:0:0:0:0:0:0:1 - - [25/Sep/2023:14:50:11 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [25/Sep/2023:14:50:11 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1448
0:0:0:0:0:0:0:1 - - [25/Sep/2023:14:50:11 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1448
0:0:0:0:0:0:0:1 - - [25/Sep/2023:14:50:11 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [25/Sep/2023:14:50:11 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1448
0:0:0:0:0:0:0:1 - - [25/Sep/2023:14:50:12 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [25/Sep/2023:14:50:12 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1448
0:0:0:0:0:0:0:1 - - [25/Sep/2023:14:50:12 +0900] "GET /favicon.ico HTTP/1.1" 404 761
127.0.0.1 - - [25/Sep/2023:15:16:30 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:16:30 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1448
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:16:31 +0900] "GET /controller/WEB-INF/classes/com/board/controller/BoardController.java HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:16:58 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1448
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:17:02 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1448
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:17:08 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1448
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:17:34 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1448
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:17:36 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1448
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:17:36 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1448
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:17:50 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 500 3574
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:18:01 +0900] "GET /controller/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:18:08 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1448
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:31:03 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
45.33.80.243 - - [25/Sep/2023:15:39:11 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:53:50 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 500 3665
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:53:51 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:53:52 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:53:53 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:53:53 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:53:53 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:53:53 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:53:54 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:53:54 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:53:54 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:53:54 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:53:54 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 500 3665
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:53:54 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:53:55 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:53:55 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:53:55 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:53:56 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:53:56 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:53:56 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:53:56 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:53:56 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:53:57 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:53:57 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:53:57 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:53:57 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:53:57 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:53:58 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:53:58 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:53:58 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:53:58 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:53:58 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 500 3665
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:53:59 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:53:59 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:53:59 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:54:00 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:54:00 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:54:00 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:54:01 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:54:01 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:54:01 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:54:01 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:54:01 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:54:02 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:54:02 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:54:26 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 500 3665
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:54:30 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 500 3665
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:54:31 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:55:07 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 500 3665
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:55:11 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 500 3665
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:55:12 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:55:13 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:55:13 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:55:14 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:55:14 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:55:14 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:55:15 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:55:15 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:55:15 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:55:16 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 500 3665
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:55:16 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:55:17 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:55:17 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [25/Sep/2023:15:55:17 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1570
